OS; CVE; PUBLIC_DATE; AUTHENTICATION; COMPLEXITY; VECTOR; CVSS; CWE; AVAILABILITY; CONFIDENTIALITY; INTEGRITY; SUMMARY;
Windows; CVE-2006-2940; 2006-09-28 14:07:00; NONE; LOW; NETWORK; 7.8;CWE-399;COMPLETE;NONE;NONE;OpenSSL 0.9.7 before 0.9.7l, 0.9.8 before 0.9.8d, and earlier versions allows attackers to cause a denial of service (CPU consumption) via parasitic public keys with large (1) "public exponent" or (2) "public modulus" values in X.509 certificates that require extra time to process when using RSA signature verification.;
Windows; CVE-2006-4339; 2006-09-05 13:04:00; NONE; MEDIUM; NETWORK; 4.3;CWE-310;NONE;PARTIAL;NONE;OpenSSL before 0.9.7, 0.9.7 before 0.9.7k, and 0.9.8 before 0.9.8c, when using an RSA key with exponent 3, removes PKCS-1 padding before generating a hash, which allows remote attackers to forge a PKCS #1 v1.5 signature that is signed by that RSA key and prevents OpenSSL from correctly verifying X.509 and other certificates that use PKCS #1.;
Windows; CVE-2008-5077; 2009-01-07 12:30:00.327000; NONE; MEDIUM; NETWORK; 5.8;CWE-20;PARTIAL;NONE;PARTIAL;OpenSSL 0.9.8i and earlier does not properly check the return value from the EVP_VerifyFinal function, which allows remote attackers to bypass validation of the certificate chain via a malformed SSL/TLS signature for DSA and ECDSA keys.;
Windows; CVE-2010-5298; 2014-04-14 18:38:08.590000; NONE; HIGH; NETWORK; 4.0;CWE-362;PARTIAL;NONE;PARTIAL;Race condition in the ssl3_read_bytes function in s3_pkt.c in OpenSSL through 1.0.1g, when SSL_MODE_RELEASE_BUFFERS is enabled, allows remote attackers to inject data across sessions or cause a denial of service (use-after-free and parsing error) via an SSL connection in a multithreaded environment.;
Windows; CVE-2009-0590; 2009-03-27 12:30:00.170000; NONE; LOW; NETWORK; 5.0;CWE-119;PARTIAL;NONE;NONE;The ASN1_STRING_print_ex function in OpenSSL before 0.9.8k allows remote attackers to cause a denial of service (invalid memory access and application crash) via vectors that trigger printing of a (1) BMPString or (2) UniversalString with an invalid encoded length.;
Windows; CVE-2013-0166; 2013-02-08 14:55:00.967000; NONE; LOW; NETWORK; 5.0;CWE-310;PARTIAL;NONE;NONE;OpenSSL before 0.9.8y, 1.0.0 before 1.0.0k, and 1.0.1 before 1.0.1d does not properly perform signature verification for OCSP responses, which allows remote OCSP servers to cause a denial of service (NULL pointer dereference and application crash) via an invalid key.;
Windows; CVE-2012-1165; 2012-03-15 13:55:00.977000; NONE; LOW; NETWORK; 5.0;CWE-399;PARTIAL;NONE;NONE;The mime_param_cmp function in crypto/asn1/asn_mime.c in OpenSSL before 0.9.8u and 1.x before 1.0.0h allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via a crafted S/MIME message, a different vulnerability than CVE-2006-7250.;
Windows; CVE-2012-0884; 2012-03-12 23:12:26.243000; NONE; LOW; NETWORK; 5.0;CWE-310;NONE;PARTIAL;NONE;The implementation of Cryptographic Message Syntax (CMS) and PKCS #7 in OpenSSL before 0.9.8u and 1.x before 1.0.0h does not properly restrict certain oracle behavior, which makes it easier for context-dependent attackers to decrypt data via a Million Message Attack (MMA) adaptive chosen ciphertext attack.;
Windows; CVE-2006-7250; 2012-02-29 06:55:04.893000; NONE; LOW; NETWORK; 5.0;NONE;PARTIAL;NONE;NONE;The mime_hdr_cmp function in crypto/asn1/asn_mime.c in OpenSSL 0.9.8t and earlier allows remote attackers to cause a denial of service (NULL pointer dereference and application crash) via a crafted S/MIME message.;
Windows; CVE-2012-2333; 2012-05-14 18:55:03.070000; NONE; MEDIUM; NETWORK; 6.8;CWE-189;PARTIAL;PARTIAL;PARTIAL;Integer underflow in OpenSSL before 0.9.8x, 1.0.0 before 1.0.0j, and 1.0.1 before 1.0.1c, when TLS 1.1, TLS 1.2, or DTLS is used with CBC encryption, allows remote attackers to cause a denial of service (buffer over-read) or possibly have unspecified other impact via a crafted TLS packet that is not properly handled during a certain explicit IV calculation.;
Windows; CVE-2012-2110; 2012-04-19 13:55:01.253000; NONE; LOW; NETWORK; 7.5;CWE-119;PARTIAL;PARTIAL;PARTIAL;The asn1_d2i_read_bio function in crypto/asn1/a_d2i_fp.c in OpenSSL before 0.9.8v, 1.0.0 before 1.0.0i, and 1.0.1 before 1.0.1a does not properly interpret integer data, which allows remote attackers to conduct buffer overflow attacks, and cause a denial of service (memory corruption) or possibly have unspecified other impact, via crafted DER data, as demonstrated by an X.509 certificate or an RSA public key.;
Windows; CVE-2014-0076; 2014-03-25 09:25:21.977000; NONE; MEDIUM; LOCAL; 1.9;CWE-310;NONE;PARTIAL;NONE;The Montgomery ladder implementation in OpenSSL through 1.0.0l does not ensure that certain swap operations have a constant-time behavior, which makes it easier for local users to obtain ECDSA nonces via a FLUSH+RELOAD cache side-channel attack.;
Windows; CVE-2001-1141; 2001-07-10 00:00:00; NONE; LOW; NETWORK; 5.0;NONE;NONE;PARTIAL;NONE;The Pseudo-Random Number Generator (PRNG) in SSLeay and OpenSSL before 0.9.6b allows attackers to use the output of small PRNG requests to determine the internal state information, which could be used by attackers to predict future pseudo-random numbers.;
Windows; CVE-2009-1387; 2009-06-04 12:30:00.343000; NONE; LOW; NETWORK; 5.0;CWE-399;PARTIAL;NONE;NONE;The dtls1_retrieve_buffered_fragment function in ssl/d1_both.c in OpenSSL before 1.0.0 Beta 2 allows remote attackers to cause a denial of service (NULL pointer dereference and daemon crash) via an out-of-sequence DTLS handshake message, related to a "fragment bug.";
Windows; CVE-2009-1386; 2009-06-04 12:30:00.313000; NONE; LOW; NETWORK; 5.0;NONE;PARTIAL;NONE;NONE;ssl/s3_pkt.c in OpenSSL before 0.9.8i allows remote attackers to cause a denial of service (NULL pointer dereference and daemon crash) via a DTLS ChangeCipherSpec packet that occurs before ClientHello.;
Windows; CVE-2010-4252; 2010-12-06 16:05:49.200000; NONE; LOW; NETWORK; 7.5;CWE-287;PARTIAL;PARTIAL;PARTIAL;OpenSSL before 1.0.0c, when J-PAKE is enabled, does not properly validate the public parameters in the J-PAKE protocol, which allows remote attackers to bypass the need for knowledge of the shared secret, and successfully authenticate, by sending crafted values in each round of the protocol.;
Windows; CVE-2010-4180; 2010-12-06 16:05:48.687000; NONE; MEDIUM; NETWORK; 4.3;NONE;NONE;NONE;PARTIAL;OpenSSL before 0.9.8q, and 1.0.x before 1.0.0c, when SSL_OP_NETSCAPE_REUSE_CIPHER_CHANGE_BUG is enabled, does not properly prevent modification of the ciphersuite in the session cache, which allows remote attackers to force the downgrade to an unintended cipher via vectors involving sniffing network traffic to discover a session identifier.;
Windows; CVE-2010-0742; 2010-06-03 10:30:01.507000; NONE; LOW; NETWORK; 7.5;CWE-310;PARTIAL;PARTIAL;PARTIAL;The Cryptographic Message Syntax (CMS) implementation in crypto/cms/cms_asn1.c in OpenSSL before 0.9.8o and 1.x before 1.0.0a does not properly handle structures that contain OriginatorInfo, which allows context-dependent attackers to modify invalid memory locations or conduct double-free attacks, and possibly execute arbitrary code, via unspecified vectors.;
Windows; CVE-2009-4355; 2010-01-14 14:30:00.390000; NONE; LOW; NETWORK; 5.0;CWE-399;PARTIAL;NONE;NONE;Memory leak in the zlib_stateful_finish function in crypto/comp/c_zlib.c in OpenSSL 0.9.8l and earlier and 1.0.0 Beta through Beta 4 allows remote attackers to cause a denial of service (memory consumption) via vectors that trigger incorrect calls to the CRYPTO_cleanup_all_ex_data function, as demonstrated by use of SSLv3 and PHP with the Apache HTTP Server, a related issue to CVE-2008-1678.;
Windows; CVE-2009-0789; 2009-03-27 12:30:02.140000; NONE; LOW; NETWORK; 5.0;CWE-189;PARTIAL;NONE;NONE;OpenSSL before 0.9.8k on WIN64 and certain other platforms does not properly handle a malformed ASN.1 structure, which allows remote attackers to cause a denial of service (invalid memory access and application crash) by placing this structure in the public key of a certificate, as demonstrated by an RSA public key.;
